Maker,Genmodel,Genmodel_ID,2022,2023,2024,2025,2026
Cadillac,SRX,14_4,41374.062550401155,43018.03467811753,44731.06280323247,46514.92003195493,48371.74713484834
Cadillac,STS,14_5,51870.10638406413,53937.70721279217,56090.17310265968,58330.25034771515,60660.98958628811
Chevrolet,Aveo,16_2,12445.476892748922,12932.027040933583,13441.41987330322,13973.554893747956,14528.631847356699
Chevrolet,Blazer,16_3,42620.06291442697,44323.89924799536,46096.17888980909,47939.552615727196,49856.80331958431
Chevrolet,Camaro,16_4,40031.03964264976,41523.18780481455,43107.749920528295,44778.60413981424,46532.32926113218
Chevrolet,Captiva,16_5,24598.97777450044,25537.289218700054,26526.827420701775,27565.53316080745,28652.49733753407
Chevrolet,Cruze,16_7,16991.070631161172,17643.713351183822,18330.561811574516,19050.55423247784,19803.315365685194
Chevrolet,Epica,16_8,21053.04151668974,21892.782459349215,22766.827255117503,23676.333793498226,24622.57055896137
Chevrolet,Kalos,16_10,10623.404202751926,11046.408832243913,11486.913108501007,11945.443178918184,12422.598388328908
Chevrolet,Lacetti,16_11,14909.440705948586,15502.951793496934,16121.063286754095,16764.501213286356,17434.098038361277
Chevrolet,Matiz,16_12,10025.26290437735,10425.730740089415,10842.38009336887,11275.809383676742,11726.655619624993
Chevrolet,Orlando,16_13,20802.566582173433,21594.79400164735,22430.67309104413,23308.361145217517,24227.018382398353
Chevrolet,Spark,16_14,10257.467334205196,10662.18262180167,11084.761542633523,11525.416135510714,11984.517672751437
Chevrolet,Tacuma,16_16,17100.7249256913,17782.18677378368,18491.677240480338,19230.08642712127,19998.409352121325
Chevrolet,Trax,16_18,17872.33858408979,18536.94659187338,19243.224580642316,19988.313651433808,20770.59825878722
Chevrolet,Volt,16_19,41201.84465962256,42737.53085046627,44368.36076760608,46088.02527649514,47892.99734228431
Chrysler,300C,17_1,34559.71925547036,35829.90413439102,37184.55757585796,38616.95997215618,40123.15243632717
Chrysler,Crossfire,17_2,39180.55065346809,40741.66126539305,42367.04972605914,44058.73712213675,45818.99039194689
Chrysler,Delta,17_3,19943.86894311882,20709.341218779646,21515.11713008608,22359.903399078197,23243.2266436934
Chrysler,Grand Voyager,17_4,32295.722535220244,33510.81649740234,34797.534699839736,36151.835967612235,37571.58932216196
Chrysler,Neon,17_5,24195.81042532831,25163.639138248793,26170.18211091389,27216.98758034505,28305.665813055075
Chrysler,PT Cruiser,17_7,24241.434415617896,25213.515657969474,26223.75299029706,27273.890804115108,28365.67782222403
Chrysler,Sebring,17_8,26729.07503594055,27786.668213507313,28890.036065338005,30039.968294254802,31237.59857643729
Chrysler,Voyager,17_9,29415.237911836804,30588.60440910741,31809.878472029704,33080.684531501494,34402.79955717497
Chrysler,Ypsilon,17_10,11654.635087629633,12082.35312702202,12538.72009722394,13021.419892697628,13529.082382514842
Citroen,Berlingo,18_2,18961.97985659564,20073.258971130548,21123.14927416553,22140.947206064982,23147.595466960563
Citroen,Berlingo Multispace,18_3,15223.421309657384,15808.267832468482,16423.735315064583,17068.88046617532,17743.37270177804
Citroen,C-Crosser,18_4,33083.24366306049,34406.64688523684,35782.96419360407,37214.31876441866,38702.916717144704
Citroen,C-Zero,18_5,22160.937290996764,22686.228793617738,23340.875753049215,24097.549248551924,24937.57814426052
Citroen,C1,18_6,9658.825581528348,10026.065970660244,10413.729765596187,10820.913765496709,11247.194682610248
Citroen,C2,18_7,12811.888649803617,13324.154349986511,13856.973631919496,14411.149752749741,14987.523765747157
Citroen,C3,18_8,12298.73898546145,12755.470381202214,13241.036481875917,13753.421040948884,14291.47805244539
Citroen,C3 Aircross,18_9,15065.539066239999,15575.5204448896,16133.693133885185,16733.647169080592,17371.217472731816
Citroen,C3 Picasso,18_10,18344.02139840221,19151.593583630347,19969.325257479995,20804.2658191323,21661.753737844763
Citroen,C3 Pluriel,18_11,21350.240062853125,22205.721072624136,23094.979900608923,24019.500086189153,24980.784782325834
Citroen,C4,18_12,16797.719366284175,17430.439387387723,18100.22483539976,18805.03133957732,19543.790850693513
Citroen,C4 Cactus,18_13,18316.30937,19377.534959,20382.6376073,21358.94398655,22326.002358482598
Citroen,C4 Picasso,18_14,22704.124094000203,23742.18785780014,24782.8045321401,25837.767125445273,26915.833098876778
Citroen,C5,18_15,27007.23297241751,28144.42255375005,29310.029639605138,30510.311953782904,31750.241221949713
Citroen,C6,18_16,53767.56242965181,55953.718062793065,58216.68398047341,60562.72337631039,62997.39273699543
Citroen,C8,18_17,34313.89655111169,35691.060335270355,37121.9282941611,38609.06330776351,40155.00635735922
Citroen,Dispatch,18_18,26340.69560222909,27320.41306556036,28361.49233565225,29459.73595230697,30612.774136659296
Citroen,Grand C4 Picasso,18_24,24677.327152828275,25743.85818703739,26829.219078186077,27941.312435880554,29086.2121495127
Citroen,Nemo Multispace,18_25,16176.334624035666,16825.50224386645,17500.00229802966,18201.03836503683,18929.805082198494
Citroen,Saxo,18_26,12895.635764434774,13411.382444314215,13947.782616598219,14505.655333420153,15085.854535267561
Citroen,SpaceTourer,18_27,31636.607556959993,32774.30504523839,33995.840477247926,35293.068357477845,36660.96707457496
Citroen,Synergie,18_28,35197.478752126306,36605.18563955402,38069.25848127605,39591.934611824996,41175.54605020653
Citroen,Xantia,18_31,24706.942370270615,25695.036815678715,26722.710013723954,27791.528622065576,28903.126912403066
Citroen,Xsara,18_29,19393.598496704424,20169.114128882895,20975.718878655418,21814.635763033682,22687.142884017463
Citroen,Xsara Picasso,18_30,25515.11679953608,26547.270247313554,27617.245200263314,28727.593908413903,29880.6588948485
Corvette,C6,19_1,71386.12141781002,74233.56963364326,77197.31477037357,80281.28900715774,83489.7977196225
Corvette,Stingray,19_3,70687.3528997328,73315.96138122212,76109.37989232101,79056.30112710886,82150.33539955971
DS,3,21_1,16652.14674185204,17423.68044729643,18194.4411502275,18973.88823576405,19769.01237286383
DS,4,21_3,22653.907518514297,23573.747969980806,24526.2767942882,25514.033099915432,26539.28808761105
DS,5,21_5,30222.785096199997,31472.5578532408,32760.063114605393,34090.48770225408,35468.12265448937
Dacia,Duster,22_1,10084.520704079498,10431.726338308448,10809.672756086826,11214.533821302526,11643.847082635188
Dacia,Logan MCV,22_2,7701.872270674999,7975.481354170099,8270.374543204573,8584.301279340125,8915.85155859889
Dacia,Sandero,22_3,6528.661475659499,6765.170232961649,7018.530651073153,7287.199403271207,7570.236647710644
Daewoo,Kalos,23_1,12178.083682362392,12664.617208481242,13170.789021997542,13697.331570501377,14245.022524658187
Daewoo,Lacetti,23_2,16007.415666248604,16646.84579076005,17312.1130708935,18004.173007681376,18724.04271775513
Daewoo,Lanos,23_6,14172.319908027963,14738.903727150066,15328.243592196757,15941.221937057111,16578.764835360133
Daewoo,Leganza,23_7,21746.96255941018,22616.33679066194,23520.63727250116,24461.21567055013,25439.491332376383
Daewoo,Matiz,23_3,9925.682203464268,10322.17753043947,10734.692258842691,11163.81928822635,11610.189597076369
Daewoo,Musso,23_8,34434.29236035081,35811.17560547314,37243.280715187866,38732.77260364244,40281.91596968108
Daewoo,Nubira,23_4,18434.66307356155,19171.330123468113,19937.679697281706,20734.83434338538,21563.98093786948
Daewoo,Tacuma,23_5,18408.125147886578,19143.637401176427,19908.813970385556,20704.768280414428,21532.68023748042
Daihatsu,Charade,24_2,10606.65468104645,11030.334472881936,11471.137375012751,11929.695536264138,12406.682224090317
Daihatsu,Copen,24_3,16718.159565821134,17380.93256244693,18072.002494739874,18791.965435386017,19541.602041401038
Daihatsu,Cuore,24_4,13744.480385776213,14294.236939884464,14865.990554553884,15460.61907268787,16079.036062761666
Daihatsu,Fourtrak,24_5,31799.579698883696,33071.32089142554,34394.0043302931,35769.64592575221,37200.34875835546
Daihatsu,Materia,24_6,15237.0646544454,15840.801594966239,16470.411706805004,17126.412808705285,17809.498564593152
Daihatsu,Sirion,24_7,11885.831850410244,12359.006273067862,12851.785328039423,13364.74990399519,13898.565114138932
Daihatsu,Terios,24_8,18048.56834391287,18766.111341075084,19513.675979102078,20292.067147334954,21102.24072357651
Daihatsu,YRV,24_9,14621.972342553327,15206.491270544402,15814.498945368437,16446.902519984757,17104.655152545252
Dodge,Avenger,26_1,23906.79591938101,24861.980932748713,25855.699393673385,26889.39482595063,27964.597838559872
Dodge,Caliber,26_2,19491.180670069552,20269.98649139038,21080.196967208627,21922.992557210815,22799.62365741894
Dodge,Journey,26_5,23182.699941682295,24100.165377874895,25057.282199957608,26054.750632833315,27093.564659560827
Dodge,Nitro,26_6,33533.061038997264,34879.728789127905,36278.659656692544,37732.42524415992,39243.55569476608
Ferrari,360,27_2,189041.9064723566,196598.36348103354,204458.64454512275,212634.43289432116,221138.02000726946
Ferrari,456,27_4,316714.7049172059,329375.8770192232,342545.72083372244,356243.9157806826,370491.12869143777
Ferrari,458,27_6,193736.21701949692,200367.80935460018,207600.02228681056,215356.27356890147,223587.09978509042
Ferrari,488,27_7,199843.07091611196,206607.37985431647,214011.08531958112,221969.11592212878,230426.19159184903
Ferrari,550,27_8,277809.8168467926,288916.33043478185,300468.86829205544,312484.7422716553,324982.11543606385
Ferrari,612,27_11,306195.494082493,318453.57206341997,331198.89569829585,344451.87805286504,358233.4717436258
Ferrari,812 Superfast,27_12,285248.161588864,294904.05575001857,305472.3953683393,316831.8153548969,328903.45488936955
Ferrari,California,27_13,184314.20233407308,191435.3123173492,198916.70413298238,206750.15782435914,214933.91400557372
Ferrari,F12berlinetta,27_16,262168.48405480396,271083.36819105654,280826.4042605411,291289.25137025234,302401.67508256517
Ferrari,F355,27_17,206256.08933749108,214505.34917037847,223084.87451876502,232007.7874666156,241287.76154225023
Ferrari,F430,27_18,242681.78298170908,252497.23490060668,262672.8507163714,273232.7732388446,284199.1901140712
Ferrari,FF,27_19,258729.6071153361,267812.5741033055,277638.7249597869,288123.8274828229,299214.46804938687
Ferrari,Gtc4lusso,27_20,210090.74187199998,216591.72310687997,223923.5381231552,231948.1819124814,240573.50077406067
Ferrari,Portofino,27_23,169831.29399999997,174368.63475999996,179764.24245039996,185849.41575841597,192509.6149157526
Fiat,124 Spider,28_1,21808.880284,22564.37882536,23385.154309374397,24263.300713449375,25193.750904177352
Fiat,500,28_2,12302.759781706674,12780.184690817072,13281.112240939248,13805.160844319464,14352.330157712093
Fiat,500L,28_4,15556.1146894,16136.09592418,16751.95541419,17401.32458788756,18082.881241394036
Fiat,500X,28_5,16448.995896399996,17053.109465655998,17697.54145766224,18379.05844533473,19095.75151370432
Fiat,Barchetta,28_8,27417.293896151252,28513.40651254721,29653.53737543404,30839.395092120852,32072.772250974307
Fiat,Brava,28_9,20539.587632272815,21360.99608928992,22215.31339906986,23103.840161378488,24027.933726275714
Fiat,Bravo,28_10,19585.239524425673,20375.036884667785,21194.509805540056,22045.42020960155,22929.428026273537
Fiat,Croma,28_11,24476.289151930996,25453.37239799646,26470.129469908075,27527.970171898625,28628.41384501053
Fiat,Doblo,28_12,14133.360824530439,14560.413313171306,15046.032484659914,15580.115631319539,16155.889549663581
Fiat,Fiorino,28_13,18247.506001835234,18956.856582084663,19700.746083491264,20478.706593517163,21290.806323938225
Fiat,Grande Punto,28_15,13583.37240129959,14128.939663696041,14695.65990668501,15284.5801624612,15896.729070615802
Fiat,Idea,28_16,16747.41671420791,17416.305494457913,18112.25219241341,18836.24841483397,19589.35264573415
Fiat,Marea,28_30,23757.200610583626,24707.133847109773,25695.170849466125,26722.80383737514,27791.594298621407
Fiat,Multipla,28_17,23055.019789356826,23979.569142984998,24940.395902142125,25939.16253363422,26977.534591764073
Fiat,Panda,28_18,9979.164566908616,10339.72724875283,10726.293608120453,11136.429441037528,11568.645480693609
Fiat,Punto,28_19,11544.394717046689,11988.357097990282,12455.4219964931,12944.910306561069,13456.596719969286
Fiat,Punto Evo,28_20,14058.018759820308,14618.30879564806,15201.61964727844,15808.689383032699,16440.34042325819
Fiat,Qubo,28_21,12554.471748900862,12934.335664230603,13366.088622561423,13840.797839696996,14352.475723848056
Fiat,Scudo,28_22,28697.517372834438,29814.05075496035,30984.655666207538,32208.671909589983,33486.25979768748
Fiat,Sedici,28_23,16486.452981755636,17143.329336106544,17827.255274107287,18539.080420261114,19279.758091704232
Fiat,Seicento,28_24,9983.717188389204,10382.73605439825,10797.814621505615,11229.565593817846,11678.635088786963
Fiat,Stilo,28_26,15696.551090654806,16322.340615470952,16973.783476922756,17651.719281782745,18357.07717910221
Fiat,Tipo,28_28,14680.458316319999,15218.3649109728,15792.581290811711,16400.12179082418,17039.21273632315
Fiat,Ulysse,28_29,29896.30027628136,31090.7758190114,32333.443323947005,33626.106587427494,34970.67872229042
Ford,B-Max,29_1,16200.784457939499,16873.88652067285,17566.391460590803,18281.331754378163,19021.184269307898
Ford,C-Max,29_2,21774.715080116297,22691.712396081406,23631.586990856984,24599.39473974389,25599.151517810482
Ford,Cougar,29_3,39842.88376035941,41436.15541696424,43093.29104797613,44816.80527992849,46609.325304148966
Ford,EcoSport,29_4,16670.485924405,17286.626597464296,17942.616526621037,18635.488593366597,19363.525321077766
Ford,Edge,29_5,34651.70111431999,35950.65847789279,37327.70734030851,38778.13140023085,40299.377692657086
Ford,Explorer,29_9,53773.91055271385,55924.475903964616,58161.181190522744,60487.43681342334,62906.80014865605
Ford,Fiesta,29_13,13666.8624262671,14300.80014162537,14933.916400105694,15574.032033080639,16226.924598283367
Ford,Focus,29_14,18826.59475798567,19649.993118455568,20485.22704229912,21339.100063364815,22216.788823461022
Ford,Focus C-Max,29_15,24046.024808063892,25014.29251863486,26019.36292215414,27063.28653098203,28148.02235658052
Ford,Fusion,29_18,16426.47196887601,17079.82105938352,17760.417049985594,18469.01593574373,19206.50411580458
Ford,Galaxy,29_19,29922.694038844427,31070.8712809639,32279.594768598443,33546.90060481957,34872.062060846394
Ford,Grand C-Max,29_20,23721.6804975118,24581.02454025826,25501.599297860783,26477.796912969745,27506.20233972471
Ford,Grand Tourneo Connect,29_21,22225.72561324,23188.2466066696,24167.220849166384,25169.920747894044,26201.925323142503
Ford,Ka,29_23,10782.983866849936,11285.449346794954,11786.669608356468,12292.997994073528,12809.12103480443
Ford,Kuga,29_25,23011.457235008565,23798.715232505994,24657.423637474196,25578.45243994074,26555.902837415673
Ford,Maverick,29_26,33120.643292050816,34444.50572553376,35821.61164581575,37254.00409553083,38743.83384806977
Ford,Mondeo,29_27,20869.838255569273,21627.75737284409,22439.05557869429,23298.949339497565,24204.53938943632
Ford,Mustang,29_28,35399.14656532,36747.6171966328,38170.27522258811,39664.01356815464,41227.423246544924
Ford,Puma,29_29,23423.904387054732,24360.37013429328,25334.44163989446,26347.578995650852,27401.313938589316
Ford,S-Max,29_31,28173.43314486171,29280.645055559995,30438.06306721507,31645.920136506546,32904.99112458882
Ford,Streetka,29_32,20682.378572138627,21508.08740445863,22367.3004832411,23261.215210393628,24191.119714285393
Ford,Tourneo Connect,29_34,17950.772875320006,18693.821682112804,19459.087073643317,20249.70932356125,21068.27883338424
Ford,Tourneo Courier,29_39,15033.5684,15435.216536,15912.83897744,16451.502182537602,17041.067022039104
Ford,Transit Courier,29_37,18460.28,18954.279199999997,19541.361967999997,20203.25456672,20927.5514333888
Honda,Accord,34_1,27773.279668242132,28870.052240536625,30014.943300053455,31208.603310982355,32452.091038670376
Honda,CR-V,34_3,25112.983610216925,26048.817707209448,27042.690742306517,28090.74260076486,29190.81326493172
Honda,CR-Z,34_4,23520.025684925153,24448.455652297154,25417.73413637154,26428.381682414147,27481.27367612214
Honda,Civic,34_2,19832.164015721817,20667.788047690072,21524.13579953524,22405.846592472946,23316.602208841272
Honda,FR-V,34_7,24314.023544494456,25284.069159685736,26293.67119746122,27344.185535331304,28437.090199724702
Honda,HR-V,34_8,19864.347114248387,20545.526179973873,21287.97085398171,22083.9262269072,22928.38885311984
Honda,Insight,34_9,25163.441568688628,26173.494682078635,27222.895284811508,28313.533667018775,29447.280813269892
Honda,Integra,34_10,38908.07857655365,40463.90364270892,42082.11113458247,43765.151522281405,45515.5867427936
Honda,Jazz,34_11,14495.840724591293,15052.057979213903,15637.608836329731,16251.54116634601,16893.502396594013
Honda,Legend,34_12,54069.85215727157,56224.754301472014,58468.2201140676,60803.081867005996,63232.49820554923
Honda,Prelude,34_19,39512.147463514106,41092.387894105676,42735.911582305605,44445.22776630282,46222.95268144843
Honda,S2000,34_16,41472.26424633218,43124.59967506132,44844.99506327687,46635.58284665711,48498.75774711781
Honda,Stream,34_18,30212.907884804037,31421.140742241212,32677.787951362374,33984.760575018925,35344.05377194112
Hummer,H2,35_2,72828.006300913,75725.92687628609,78744.32417767314,81886.64930321499,85156.90178624804
Hummer,H3,35_3,42076.42677041059,43757.312703837306,45506.08541581801,47325.26497512977,49217.53087401029
Hyundai,Accent,36_1,13586.107041847361,14128.656015049832,14693.17553972183,15280.463860159705,15891.375323760396
Hyundai,Amica,36_2,8918.257494380116,9274.07986759479,9644.40751370621,10029.738930239799,10430.617068639129
Hyundai,Coupe,36_3,26086.177018934264,27131.835560203734,28218.65700497035,29348.486900820095,30523.18490780855
Hyundai,Elantra,36_4,18602.895636308403,19346.080694288907,20119.27238483018,20923.587204162184,21760.211439085833
Hyundai,Genesis,36_5,53850.364929740004,55773.500927579604,57842.82594513779,60043.408469261805,62365.95344845523
Hyundai,Getz,36_6,11402.241347824405,11857.06083321216,12330.45414857299,12823.04993193855,13335.53626141194
Hyundai,Grandeur,36_7,39758.3042660865,41340.386887823384,42988.22767910172,44703.71450730157,46489.033492318675
Hyundai,Ioniq,36_14,22540.38291392,23348.2823984768,24216.612612015873,25139.35635881651,26112.78608279317
Hyundai,Kona,36_17,17470.77752384,18062.1782807936,18709.464171225343,19405.201869514356,20144.561336302933
Hyundai,Matrix,36_18,15592.915125364412,16215.257747323396,16862.906269077415,17536.749268143274,18237.747962680936
Hyundai,Santa Fe,36_20,34422.860878192936,35881.719280283854,37374.348828369446,38909.47532531619,40493.96111899722
Hyundai,Sonata,36_21,21344.753656998055,22189.20041335453,23070.228056942302,23988.458918157507,24944.792492140066
Hyundai,Terracan,36_22,31408.928563625515,32663.323661286166,33968.48317631855,35326.26110137795,36738.638564037734
Hyundai,Trajet,36_23,26287.12114837541,27337.17311727678,28429.657028044297,29566.141199419584,30748.295370573825
Hyundai,Tucson,36_24,21134.589315610123,22005.780520927085,22904.07708464896,23832.88590805427,24795.05336238999
Hyundai,Veloster,36_25,21206.79223105572,22018.24609634329,22873.203463428756,23770.090868228122,24708.2659893408
Hyundai,XG30,36_26,40244.51051971695,41853.625830474055,43527.30528667092,45268.07159422229,47078.56632525036
Hyundai,i10,36_8,9852.61907657369,10203.933513601583,10582.137625921108,10984.455871200775,11409.15702421878
Hyundai,i20,36_9,13391.485729461845,14081.59585062329,14752.975169036303,15418.775014869414,16088.50260281435
Hyundai,i30,36_10,16995.076597042003,17641.5886230622,18323.948441481654,19040.593770588795,19790.798695425863
Hyundai,i40,36_12,21859.07947175,22678.408430224998,23547.0208131575,24461.934877690248,25421.535535202373
Hyundai,i800,36_13,25791.855227516702,26669.63203526169,27628.68913572318,28658.426974487826,29751.977244802343
Hyundai,ix20,36_15,15412.978811971996,15985.956848380396,16594.916341066277,17237.377847834392,17911.938358935593
Hyundai,ix35,36_16,20119.337286920647,20885.58746771451,21694.04464894502,22542.930012668166,23431.433717610635
Infiniti,EX,37_1,39610.51585849385,41068.93544472825,42623.492128843645,44266.69130042577,45994.14059294267
Infiniti,FX,37_2,47442.247269347456,49121.56807258162,50933.572434207075,52863.91447868089,54903.570460802
Infiniti,G,37_3,41828.80674516711,43438.932700305,45132.37158804904,46906.78355738329,48761.436873747225
Infiniti,M,37_4,37203.6183964348,38468.81729616676,39851.50790272563,41336.3247591332,42913.3073277075
Infiniti,Q30,37_5,21307.625379999998,21910.866982,22612.95727204,23395.4344904536,24245.823119344146
Infiniti,Q50,37_6,39325.464669999994,41883.339637,44248.07268862,46500.5752224628,48698.40396976992
